gene/TE	cytoplasmic_dmso_3hrs_1	cytoplasmic_dmso_3hrs_2	cytoplasmic_dmso_3hrs_3	cytoplasmic_kpt185_3hrs_1	cytoplasmic_kpt185_3hrs_2	cytoplasmic_kpt185_3hrs_3	nuclear_dmso_3hrs_1	nuclear_dmso_3hrs_2	nuclear_dmso_3hrs_3	nuclear_kpt185_3hrs_1	nuclear_kpt185_3hrs_2	nuclear_kpt185_3hrs_3
"ENSG00000011332.22"	457	278	398	340	498	370	95	119	144	143	245	137
"ENSG00000011347.10"	180	117	164	118	203	150	28	34	34	45	56	33
"ENSG00000011376.12"	1525	943	1314	973	1589	993	572	591	704	623	984	532
"ENSG00000011405.14"	2470	1729	2226	1747	2683	1946	745	774	959	1069	1455	778
"ENSG00000011422.12"	99	74	121	95	138	95	46	43	59	94	131	74
"ENSG00000011426.11"	886	664	869	919	1481	989	1689	1831	2028	2540	3490	2004
"ENSG00000011451.21"	4007	2423	3524	2305	3875	2667	565	500	808	685	1153	588
"ENSG00000011454.18"	1284	802	1119	1007	1580	1026	463	475	576	657	966	519
"ENSG00000011465.18"	0	1	0	0	0	1	0	0	1	2	3	0
"ENSG00000011478.13"	166	104	174	90	204	127	141	126	157	175	209	161
"ENSG00000011485.15"	2980	1726	2605	1900	2920	1981	627	669	845	809	1232	695
"ENSG00000011523.14"	982	573	847	655	1098	709	248	287	296	338	509	260
"ENSG00000011566.15"	649	434	553	453	694	467	302	323	325	316	476	259
"ENSG00000011590.14"	0	0	0	0	1	3	1	0	0	0	0	0
"ENSG00000011600.12"	0	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000011638.11"	107	76	122	114	190	134	20	25	34	38	77	36
"ENSG00000011677.13"	1	0	0	0	0	1	0	0	0	0	0	0
"ENSG00000012048.23"	3230	2047	2804	2215	3265	2367	1126	1184	1364	1499	2214	1229
"ENSG00000012061.16"	1080	708	965	687	1247	796	178	208	257	266	483	239
"ENSG00000012124.17"	1	0	0	1	2	0	1	0	0	1	0	1
"ENSG00000012171.20"	26	10	17	14	21	23	18	12	28	25	48	10
"ENSG00000012174.12"	1428	975	1230	1083	1674	1266	1058	902	1125	1104	1553	841
"ENSG00000012211.13"	327	155	250	145	227	201	62	65	84	94	112	57
"ENSG00000012223.13"	0	0	0	0	1	0	0	1	0	2	0	0
"ENSG00000012232.9"	1867	1124	1626	1106	1714	1155	642	633	815	640	990	509
"ENSG00000012504.15"	3	1	0	1	2	2	0	0	2	0	2	0
"ENSG00000012660.14"	2378	1568	2009	1740	2450	1951	1419	1397	1585	1513	2127	1238
